name,city,state,est_year,latitude,longitude
Alamo City Comic Con,Unknown,Texas,2013,33.1832598,-96.48827
Alternative Press Expo,Unknown,California,1994,34.852961,-118.1795547
Baltimore Comic-Con,Unknown,Maryland,2000,39.0880911,-77.3883717
Big Apple Comic Con,Unknown,New York,1996,42.8600108,-73.7162903
Chicago Comic & Entertainment Expo,Unknown,Illinois,2010,37.6257731,-88.7974249
Comicpalooza,Unknown,Texas,2008,33.1832598,-96.48827
Dragon Con,Unknown,Georgia,1987,31.937025,-81.1545654
East Coast Black Age of Comics Convention,Unknown,Pennsylvania,2002,39.7424537,-75.8645144
East Coast Comicon,Unknown,New Jersey,2012,,
Emerald City Comic Con,Unknown,Washington,2003,48.2747559,-121.7424883
Fan Expo Boston,Unknown,Massachusetts,2007,41.9211653,-70.5819638
Fan Expo Chicago,Unknown,Illinois,1972,37.6257731,-88.7974249
Fan Expo Dallas,Unknown,Texas,2002,33.1832598,-96.48827
Fan Expo Denver,Unknown,Colorado,2012,39.0725708,-108.7035844
FanX,Unknown,Utah,2013,38.3702678,-110.0043341
Heroes Convention,Unknown,North Carolina,1982,36.1089458,-79.9313523
Intervention,Unknown,Washington,2010,48.2747559,-121.7424883
L.A. Comic Con,Unknown,California,2011,34.852961,-118.1795547
Memphis Comic and Fantasy Convention,Unknown,Tennessee,2010,36.0316719,-83.9325583
MoCCA Festival,Unknown,New York,2002,42.8600108,-73.7162903
Motor City Comic Con,Unknown,Michigan,1989,42.3909659,-83.4051143
New York Comic Con,Unknown,New York,2006,42.8600108,-73.7162903
Ohio Comic Con,Unknown,Ohio,1980,38.9684008,-84.0813351
Pensacola Comic Convention,Unknown,Florida,2010,25.786741,-80.3365702
Phoenix Fan Fusion,Unknown,Arizona,2002,35.227435,-113.8110947
Pittsburgh Comicon,Unknown,Pennsylvania,1994,39.7424537,-75.8645144
Planet Comicon Kansas City,Unknown,Kansas,1999,38.6291167,-96.4287668
PopCon Indy,Unknown,Indiana,2014,40.7643776,-86.3668377
Rhode Island Comic Con,Unknown,Rhode Island,2012,41.6604573,-71.5563772
Rose City Comic Con,Unknown,Oregon,2012,43.7954097,-123.2670809
San Diego Comic-Con,Unknown,California,1970,34.852961,-118.1795547
SiliCon,Unknown,California,2016,34.852961,-118.1795547
Small Press Expo,Unknown,Maryland,1994,39.0880911,-77.3883717
Small Press and Alternative Comics Expo,Columbus,Ohio,2000,39.9622601,-83.0007065
STAPLE!,Unknown,Texas,2005,33.1832598,-96.48827
WonderCon,Unknown,California,1987,34.852961,-118.1795547
